Date,Closing_Price,Stock
2023-10-17 00:00:00-04:00,9.903203010559082,HBAN
2023-10-18 00:00:00-04:00,9.645605087280273,HBAN
2023-10-19 00:00:00-04:00,9.569279670715332,HBAN
2023-10-20 00:00:00-04:00,9.197195053100586,HBAN
2023-10-23 00:00:00-04:00,9.130409240722656,HBAN
2023-10-24 00:00:00-04:00,9.092247009277344,HBAN
2023-10-25 00:00:00-04:00,9.035003662109375,HBAN
2023-10-26 00:00:00-04:00,9.2639799118042,HBAN
2023-10-27 00:00:00-04:00,9.006380081176758,HBAN
2023-10-30 00:00:00-04:00,9.120869636535645,HBAN
2023-10-31 00:00:00-04:00,9.206734657287598,HBAN
2023-11-01 00:00:00-04:00,9.187653541564941,HBAN
2023-11-02 00:00:00-04:00,9.86504077911377,HBAN
2023-11-03 00:00:00-04:00,10.13217830657959,HBAN
2023-11-06 00:00:00-05:00,10.017690658569336,HBAN
2023-11-07 00:00:00-05:00,9.96044635772705,HBAN
2023-11-08 00:00:00-05:00,9.884121894836426,HBAN
2023-11-09 00:00:00-05:00,9.721929550170898,HBAN
2023-11-10 00:00:00-05:00,9.798255920410156,HBAN
2023-11-13 00:00:00-05:00,9.760092735290527,HBAN
2023-11-14 00:00:00-05:00,10.322991371154785,HBAN
2023-11-15 00:00:00-05:00,10.49472427368164,HBAN
2023-11-16 00:00:00-05:00,10.408858299255371,HBAN
2023-11-17 00:00:00-05:00,10.571049690246582,HBAN
2023-11-20 00:00:00-05:00,10.561509132385254,HBAN
2023-11-21 00:00:00-05:00,10.399317741394043,HBAN
2023-11-22 00:00:00-05:00,10.370696067810059,HBAN
2023-11-24 00:00:00-05:00,10.380236625671387,HBAN
2023-11-27 00:00:00-05:00,10.303911209106445,HBAN
2023-11-28 00:00:00-05:00,10.408858299255371,HBAN
2023-11-29 00:00:00-05:00,10.618753433227539,HBAN
2023-11-30 00:00:00-05:00,10.742780685424805,HBAN
2023-12-01 00:00:00-05:00,11.200732231140137,HBAN
2023-12-04 00:00:00-05:00,11.23889446258545,HBAN
2023-12-05 00:00:00-05:00,11.105326652526855,HBAN
2023-12-06 00:00:00-05:00,11.162569999694824,HBAN
2023-12-07 00:00:00-05:00,11.31521987915039,HBAN
2023-12-08 00:00:00-05:00,11.439249038696289,HBAN
2023-12-11 00:00:00-05:00,11.40108585357666,HBAN
2023-12-12 00:00:00-05:00,11.305680274963379,HBAN
2023-12-13 00:00:00-05:00,11.763629913330078,HBAN
2023-12-14 00:00:00-05:00,12.57458782196045,HBAN
2023-12-15 00:00:00-05:00,12.415291786193848,HBAN
2023-12-18 00:00:00-05:00,12.251171112060547,HBAN
2023-12-19 00:00:00-05:00,12.338059425354004,HBAN
2023-12-20 00:00:00-05:00,12.038779258728027,HBAN
2023-12-21 00:00:00-05:00,12.202900886535645,HBAN
2023-12-22 00:00:00-05:00,12.222208976745605,HBAN
2023-12-26 00:00:00-05:00,12.386330604553223,HBAN
2023-12-27 00:00:00-05:00,12.357368469238281,HBAN
2023-12-28 00:00:00-05:00,12.367022514343262,HBAN
2023-12-29 00:00:00-05:00,12.280134201049805,HBAN
2024-01-02 00:00:00-05:00,12.415291786193848,HBAN
2024-01-03 00:00:00-05:00,12.087050437927246,HBAN
2024-01-04 00:00:00-05:00,12.289788246154785,HBAN
2024-01-05 00:00:00-05:00,12.550451278686523,HBAN
2024-01-08 00:00:00-05:00,12.63733959197998,HBAN
2024-01-09 00:00:00-05:00,12.453908920288086,HBAN
2024-01-10 00:00:00-05:00,12.482872009277344,HBAN
2024-01-11 00:00:00-05:00,12.280134201049805,HBAN
2024-01-12 00:00:00-05:00,12.087050437927246,HBAN
2024-01-16 00:00:00-05:00,11.826387405395508,HBAN
2024-01-17 00:00:00-05:00,11.816733360290527,HBAN
2024-01-18 00:00:00-05:00,11.816733360290527,HBAN
2024-01-19 00:00:00-05:00,12.280134201049805,HBAN
2024-01-22 00:00:00-05:00,12.482872009277344,HBAN
2024-01-23 00:00:00-05:00,12.318751335144043,HBAN
2024-01-24 00:00:00-05:00,12.627684593200684,HBAN
2024-01-25 00:00:00-05:00,12.492526054382324,HBAN
2024-01-26 00:00:00-05:00,12.598722457885742,HBAN
2024-01-29 00:00:00-05:00,12.675955772399902,HBAN
2024-01-30 00:00:00-05:00,12.666301727294922,HBAN
2024-01-31 00:00:00-05:00,12.289788246154785,HBAN
2024-02-01 00:00:00-05:00,12.029125213623047,HBAN
2024-02-02 00:00:00-05:00,12.154629707336426,HBAN
2024-02-05 00:00:00-05:00,11.971199035644531,HBAN
2024-02-06 00:00:00-05:00,11.94223690032959,HBAN
2024-02-07 00:00:00-05:00,11.922928810119629,HBAN
2024-02-08 00:00:00-05:00,11.893965721130371,HBAN
2024-02-09 00:00:00-05:00,11.980854034423828,HBAN
2024-02-12 00:00:00-05:00,12.222208976745605,HBAN
2024-02-13 00:00:00-05:00,11.913274765014648,HBAN
2024-02-14 00:00:00-05:00,12.280134201049805,HBAN
2024-02-15 00:00:00-05:00,12.395984649658203,HBAN
2024-02-16 00:00:00-05:00,12.424946784973145,HBAN
2024-02-20 00:00:00-05:00,12.318751335144043,HBAN
2024-02-21 00:00:00-05:00,12.424946784973145,HBAN
2024-02-22 00:00:00-05:00,12.415291786193848,HBAN
2024-02-23 00:00:00-05:00,12.415291786193848,HBAN
2024-02-26 00:00:00-05:00,12.338059425354004,HBAN
2024-02-27 00:00:00-05:00,12.5697603225708,HBAN
2024-02-28 00:00:00-05:00,12.453908920288086,HBAN
2024-02-29 00:00:00-05:00,12.589068412780762,HBAN
2024-03-01 00:00:00-05:00,12.502180099487305,HBAN
2024-03-04 00:00:00-05:00,12.898002624511719,HBAN
2024-03-05 00:00:00-05:00,13.187627792358398,HBAN
2024-03-06 00:00:00-05:00,13.081432342529297,HBAN
2024-03-07 00:00:00-05:00,13.06212329864502,HBAN
2024-03-08 00:00:00-05:00,13.033161163330078,HBAN
2024-03-11 00:00:00-04:00,12.99454402923584,HBAN
2024-03-12 00:00:00-04:00,12.975234985351562,HBAN
2024-03-13 00:00:00-04:00,12.975234985351562,HBAN
2024-03-14 00:00:00-04:00,12.608377456665039,HBAN
2024-03-15 00:00:00-04:00,12.750043869018555,HBAN
2024-03-18 00:00:00-04:00,12.720733642578125,HBAN
2024-03-19 00:00:00-04:00,12.701192855834961,HBAN
2024-03-20 00:00:00-04:00,13.013837814331055,HBAN
2024-03-21 00:00:00-04:00,13.297171592712402,HBAN
2024-03-22 00:00:00-04:00,13.004068374633789,HBAN
2024-03-25 00:00:00-04:00,13.062688827514648,HBAN
2024-03-26 00:00:00-04:00,13.033378601074219,HBAN
2024-03-27 00:00:00-04:00,13.473034858703613,HBAN
2024-03-28 00:00:00-04:00,13.629358291625977,HBAN
2024-04-01 00:00:00-04:00,13.414413452148438,HBAN
2024-04-02 00:00:00-04:00,13.287402153015137,HBAN
2024-04-03 00:00:00-04:00,13.297171592712402,HBAN
2024-04-04 00:00:00-04:00,13.209240913391113,HBAN
2024-04-05 00:00:00-04:00,13.287402153015137,HBAN
2024-04-08 00:00:00-04:00,13.687978744506836,HBAN
2024-04-09 00:00:00-04:00,13.717288970947266,HBAN
2024-04-10 00:00:00-04:00,13.267861366271973,HBAN
2024-04-11 00:00:00-04:00,13.179929733276367,HBAN
2024-04-12 00:00:00-04:00,13.004068374633789,HBAN
2024-04-15 00:00:00-04:00,12.955217361450195,HBAN
2024-04-16 00:00:00-04:00,12.740273475646973,HBAN
2024-04-17 00:00:00-04:00,12.847744941711426,HBAN
2024-04-18 00:00:00-04:00,12.877056121826172,HBAN
2024-04-19 00:00:00-04:00,12.974757194519043,HBAN
2024-04-22 00:00:00-04:00,13.219010353088379,HBAN
2024-04-23 00:00:00-04:00,13.316712379455566,HBAN
2024-04-24 00:00:00-04:00,13.443724632263184,HBAN
2024-04-25 00:00:00-04:00,13.267861366271973,HBAN
2024-04-26 00:00:00-04:00,13.238551139831543,HBAN
2024-04-29 00:00:00-04:00,13.25809097290039,HBAN
2024-04-30 00:00:00-04:00,13.16038990020752,HBAN
2024-05-01 00:00:00-04:00,13.336252212524414,HBAN
2024-05-02 00:00:00-04:00,13.355792999267578,HBAN
2024-05-03 00:00:00-04:00,13.482805252075195,HBAN
2024-05-06 00:00:00-04:00,13.600048065185547,HBAN
2024-05-07 00:00:00-04:00,13.531656265258789,HBAN
2024-05-08 00:00:00-04:00,13.727059364318848,HBAN
2024-05-09 00:00:00-04:00,13.697749137878418,HBAN
2024-05-10 00:00:00-04:00,13.73682975769043,HBAN
2024-05-13 00:00:00-04:00,13.639128684997559,HBAN
2024-05-14 00:00:00-04:00,13.756369590759277,HBAN
2024-05-15 00:00:00-04:00,13.932232856750488,HBAN
2024-05-16 00:00:00-04:00,13.844301223754883,HBAN
2024-05-17 00:00:00-04:00,13.883381843566895,HBAN
2024-05-20 00:00:00-04:00,13.687978744506836,HBAN
2024-05-21 00:00:00-04:00,13.824760437011719,HBAN
2024-05-22 00:00:00-04:00,13.600048065185547,HBAN
2024-05-23 00:00:00-04:00,13.267861366271973,HBAN
2024-05-24 00:00:00-04:00,13.42418384552002,HBAN
2024-05-28 00:00:00-04:00,13.346022605895996,HBAN
2024-05-29 00:00:00-04:00,13.16038990020752,HBAN
2024-05-30 00:00:00-04:00,13.346022605895996,HBAN
2024-05-31 00:00:00-04:00,13.600048065185547,HBAN
2024-06-03 00:00:00-04:00,13.355792999267578,HBAN
2024-06-04 00:00:00-04:00,13.170159339904785,HBAN
2024-06-05 00:00:00-04:00,13.121309280395508,HBAN
2024-06-06 00:00:00-04:00,13.07245922088623,HBAN
2024-06-07 00:00:00-04:00,13.091999053955078,HBAN
2024-06-10 00:00:00-04:00,12.290846824645996,HBAN
2024-06-11 00:00:00-04:00,12.066133499145508,HBAN
2024-06-12 00:00:00-04:00,12.154064178466797,HBAN
2024-06-13 00:00:00-04:00,12.056363105773926,HBAN
2024-06-14 00:00:00-04:00,12.085673332214355,HBAN
2024-06-17 00:00:00-04:00,12.258821487426758,HBAN
2024-06-18 00:00:00-04:00,12.328080177307129,HBAN
2024-06-20 00:00:00-04:00,12.387445449829102,HBAN
2024-06-21 00:00:00-04:00,12.496280670166016,HBAN
