Date,Closing_Price,Stock
2023-10-17 00:00:00-04:00,85.43819427490234,LW
2023-10-18 00:00:00-04:00,85.06462860107422,LW
2023-10-19 00:00:00-04:00,86.00837707519531,LW
2023-10-20 00:00:00-04:00,86.01820373535156,LW
2023-10-23 00:00:00-04:00,85.69379425048828,LW
2023-10-24 00:00:00-04:00,87.28636932373047,LW
2023-10-25 00:00:00-04:00,87.30602264404297,LW
2023-10-26 00:00:00-04:00,87.27652740478516,LW
2023-10-27 00:00:00-04:00,87.37483215332031,LW
2023-10-30 00:00:00-04:00,88.00399017333984,LW
2023-10-31 00:00:00-04:00,88.27925872802734,LW
2023-11-01 00:00:00-04:00,89.41960906982422,LW
2023-11-02 00:00:00-04:00,92.40750122070312,LW
2023-11-03 00:00:00-04:00,92.78221130371094,LW
2023-11-06 00:00:00-05:00,92.87096405029297,LW
2023-11-07 00:00:00-05:00,92.12152862548828,LW
2023-11-08 00:00:00-05:00,93.0583267211914,LW
2023-11-09 00:00:00-05:00,93.0484619140625,LW
2023-11-10 00:00:00-05:00,92.76248931884766,LW
2023-11-13 00:00:00-05:00,94.78399658203125,LW
2023-11-14 00:00:00-05:00,94.54733276367188,LW
2023-11-15 00:00:00-05:00,93.51193237304688,LW
2023-11-16 00:00:00-05:00,94.36983489990234,LW
2023-11-17 00:00:00-05:00,94.46845245361328,LW
2023-11-20 00:00:00-05:00,95.9771728515625,LW
2023-11-21 00:00:00-05:00,96.77592468261719,LW
2023-11-22 00:00:00-05:00,97.51549530029297,LW
2023-11-24 00:00:00-05:00,97.83104705810547,LW
2023-11-27 00:00:00-05:00,98.29451751708984,LW
2023-11-28 00:00:00-05:00,97.07174682617188,LW
2023-11-29 00:00:00-05:00,96.17440032958984,LW
2023-11-30 00:00:00-05:00,98.6396484375,LW
2023-12-01 00:00:00-05:00,99.51728057861328,LW
2023-12-04 00:00:00-05:00,101.03587341308594,LW
2023-12-05 00:00:00-05:00,99.2214584350586,LW
2023-12-06 00:00:00-05:00,99.5961685180664,LW
2023-12-07 00:00:00-05:00,99.5961685180664,LW
2023-12-08 00:00:00-05:00,99.55672454833984,LW
2023-12-11 00:00:00-05:00,101.18379211425781,LW
2023-12-12 00:00:00-05:00,102.10087585449219,LW
2023-12-13 00:00:00-05:00,104.595703125,LW
2023-12-14 00:00:00-05:00,102.9193344116211,LW
2023-12-15 00:00:00-05:00,102.8798828125,LW
2023-12-18 00:00:00-05:00,105.75929260253906,LW
2023-12-19 00:00:00-05:00,104.44778442382812,LW
2023-12-20 00:00:00-05:00,101.97267150878906,LW
2023-12-21 00:00:00-05:00,102.51502990722656,LW
2023-12-22 00:00:00-05:00,103.24474334716797,LW
2023-12-26 00:00:00-05:00,105.02957916259766,LW
2023-12-27 00:00:00-05:00,106.01568603515625,LW
2023-12-28 00:00:00-05:00,106.62706756591797,LW
2023-12-29 00:00:00-05:00,106.58761596679688,LW
2024-01-02 00:00:00-05:00,105.07888793945312,LW
2024-01-03 00:00:00-05:00,103.47154998779297,LW
2024-01-04 00:00:00-05:00,103.79695892333984,LW
2024-01-05 00:00:00-05:00,104.54638671875,LW
2024-01-08 00:00:00-05:00,105.88748931884766,LW
2024-01-09 00:00:00-05:00,105.91708374023438,LW
2024-01-10 00:00:00-05:00,105.69027709960938,LW
