Date,Closing_Price,Stock
2023-10-17 00:00:00-04:00,307.8268737792969,ERIE
2023-10-18 00:00:00-04:00,302.7820129394531,ERIE
2023-10-19 00:00:00-04:00,300.1954040527344,ERIE
2023-10-20 00:00:00-04:00,296.06866455078125,ERIE
2023-10-23 00:00:00-04:00,293.8966979980469,ERIE
2023-10-24 00:00:00-04:00,288.6148681640625,ERIE
2023-10-25 00:00:00-04:00,290.58935546875,ERIE
2023-10-26 00:00:00-04:00,288.0718994140625,ERIE
2023-10-27 00:00:00-04:00,269.77801513671875,ERIE
2023-10-30 00:00:00-04:00,274.5859069824219,ERIE
2023-10-31 00:00:00-04:00,272.670654296875,ERIE
2023-11-01 00:00:00-04:00,272.3448486328125,ERIE
2023-11-02 00:00:00-04:00,274.4082336425781,ERIE
2023-11-03 00:00:00-04:00,274.7340087890625,ERIE
2023-11-06 00:00:00-05:00,276.61968994140625,ERIE
2023-11-07 00:00:00-05:00,278.27825927734375,ERIE
2023-11-08 00:00:00-05:00,275.65216064453125,ERIE
2023-11-09 00:00:00-05:00,274.55633544921875,ERIE
2023-11-10 00:00:00-05:00,274.81298828125,ERIE
2023-11-13 00:00:00-05:00,280.6081848144531,ERIE
2023-11-14 00:00:00-05:00,284.4980163574219,ERIE
2023-11-15 00:00:00-05:00,274.3292236328125,ERIE
2023-11-16 00:00:00-05:00,277.40948486328125,ERIE
2023-11-17 00:00:00-05:00,276.4419860839844,ERIE
2023-11-20 00:00:00-05:00,279.7789001464844,ERIE
2023-11-21 00:00:00-05:00,281.1709289550781,ERIE
2023-11-22 00:00:00-05:00,285.26806640625,ERIE
2023-11-24 00:00:00-05:00,289.05914306640625,ERIE
2023-11-27 00:00:00-05:00,288.9307861328125,ERIE
2023-11-28 00:00:00-05:00,284.1228332519531,ERIE
2023-11-29 00:00:00-05:00,283.31329345703125,ERIE
2023-11-30 00:00:00-05:00,291.872802734375,ERIE
2023-12-01 00:00:00-05:00,294.6568908691406,ERIE
2023-12-04 00:00:00-05:00,299.8301086425781,ERIE
2023-12-05 00:00:00-05:00,301.0937805175781,ERIE
2023-12-06 00:00:00-05:00,297.5594177246094,ERIE
2023-12-07 00:00:00-05:00,302.12054443359375,ERIE
2023-12-08 00:00:00-05:00,301.85400390625,ERIE
2023-12-11 00:00:00-05:00,315.0832214355469,ERIE
2023-12-12 00:00:00-05:00,322.4876708984375,ERIE
2023-12-13 00:00:00-05:00,318.7657165527344,ERIE
2023-12-14 00:00:00-05:00,317.3440246582031,ERIE
2023-12-15 00:00:00-05:00,320.0985107421875,ERIE
2023-12-18 00:00:00-05:00,325.39019775390625,ERIE
2023-12-19 00:00:00-05:00,324.02777099609375,ERIE
2023-12-20 00:00:00-05:00,322.3296813964844,ERIE
2023-12-21 00:00:00-05:00,325.4197998046875,ERIE
2023-12-22 00:00:00-05:00,328.55926513671875,ERIE
2023-12-26 00:00:00-05:00,326.7032470703125,ERIE
2023-12-27 00:00:00-05:00,327.6609191894531,ERIE
2023-12-28 00:00:00-05:00,329.8229675292969,ERIE
2023-12-29 00:00:00-05:00,330.65228271484375,ERIE
2024-01-02 00:00:00-05:00,330.73126220703125,ERIE
2024-01-03 00:00:00-05:00,328.41119384765625,ERIE
2024-01-04 00:00:00-05:00,329.75390625,ERIE
2024-01-05 00:00:00-05:00,326.8551025390625,ERIE
2024-01-08 00:00:00-05:00,325.9928894042969,ERIE
2024-01-09 00:00:00-05:00,324.7441711425781,ERIE
2024-01-10 00:00:00-05:00,325.3586120605469,ERIE
2024-01-11 00:00:00-05:00,331.5922546386719,ERIE
2024-01-12 00:00:00-05:00,338.38092041015625,ERIE
2024-01-16 00:00:00-05:00,334.4266662597656,ERIE
2024-01-17 00:00:00-05:00,335.3681335449219,ERIE
2024-01-18 00:00:00-05:00,339.6296081542969,ERIE
2024-01-19 00:00:00-05:00,336.9934387207031,ERIE
2024-01-22 00:00:00-05:00,339.0845031738281,ERIE
2024-01-23 00:00:00-05:00,335.4375305175781,ERIE
2024-01-24 00:00:00-05:00,335.51678466796875,ERIE
2024-01-25 00:00:00-05:00,334.5158386230469,ERIE
2024-01-26 00:00:00-05:00,342.136962890625,ERIE
2024-01-29 00:00:00-05:00,339.5998840332031,ERIE
2024-01-30 00:00:00-05:00,341.7603454589844,ERIE
2024-01-31 00:00:00-05:00,342.7315673828125,ERIE
2024-02-01 00:00:00-05:00,343.8811340332031,ERIE
2024-02-02 00:00:00-05:00,344.277587890625,ERIE
2024-02-05 00:00:00-05:00,340.53143310546875,ERIE
2024-02-06 00:00:00-05:00,344.3766784667969,ERIE
2024-02-07 00:00:00-05:00,346.86419677734375,ERIE
2024-02-08 00:00:00-05:00,347.04254150390625,ERIE
2024-02-09 00:00:00-05:00,351.531982421875,ERIE
2024-02-12 00:00:00-05:00,352.02752685546875,ERIE
2024-02-13 00:00:00-05:00,346.3389587402344,ERIE
2024-02-14 00:00:00-05:00,348.66790771484375,ERIE
2024-02-15 00:00:00-05:00,352.29510498046875,ERIE
2024-02-16 00:00:00-05:00,356.5863037109375,ERIE
2024-02-20 00:00:00-05:00,352.29510498046875,ERIE
2024-02-21 00:00:00-05:00,347.6570129394531,ERIE
2024-02-22 00:00:00-05:00,348.6976318359375,ERIE
2024-02-23 00:00:00-05:00,346.37860107421875,ERIE
2024-02-26 00:00:00-05:00,351.2049560546875,ERIE
2024-02-27 00:00:00-05:00,385.85174560546875,ERIE
2024-02-28 00:00:00-05:00,408.7645568847656,ERIE
2024-02-29 00:00:00-05:00,403.2345886230469,ERIE
2024-03-01 00:00:00-05:00,400.66778564453125,ERIE
2024-03-04 00:00:00-05:00,408.4672546386719,ERIE
2024-03-05 00:00:00-05:00,404.76080322265625,ERIE
2024-03-06 00:00:00-05:00,408.0212707519531,ERIE
2024-03-07 00:00:00-05:00,413.61077880859375,ERIE
2024-03-08 00:00:00-05:00,412.1440124511719,ERIE
2024-03-11 00:00:00-04:00,399.1217956542969,ERIE
2024-03-12 00:00:00-04:00,404.76080322265625,ERIE
2024-03-13 00:00:00-04:00,404.18597412109375,ERIE
